ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
01T,2011,Sep,126822.0,7054.0,148122.31,20.998342784235895
01V,2011,Sep,101234.0,5915.0,101801.95,17.21081149619611
01W,2011,Sep,238998.0,13007.0,264427.3,20.32961482278773
01X,2011,Sep,155786.0,10213.0,192339.71000000005,18.83283168510722
01Y,2011,Sep,187054.0,11485.0,292624.24,25.478819329560295
02A,2011,Sep,181553.0,10048.0,217780.15999999997,21.673980891719744
02D,2011,Sep,79614.0,4671.0,102114.12,21.86129736673089
02E,2011,Sep,154616.0,9255.0,172084.57999999996,18.59368773635872
02F,2011,Sep,206635.0,11097.0,220641.79000000004,19.883012525907905
02G,2011,Sep,90171.0,5223.0,101236.78000000003,19.38287957112771
02H,2011,Sep,257240.0,16023.0,319302.9799999999,19.92779005180053
02M,2011,Sep,126659.0,7684.0,147199.07,19.156568193649143
02N,2011,Sep,124811.0,7088.0,146573.09000000003,20.679047686230252
02P,2011,Sep,180064.0,11475.0,233826.43000000005,20.377030936819178
02Q,2011,Sep,90256.0,5504.0,120787.11000000002,21.94533248546512
02R,2011,Sep,251063.0,16471.0,331173.25999999995,20.10644526743974
02T,2011,Sep,166522.0,9125.0,192873.15000000002,21.13678356164384
02V,2011,Sep,161520.0,8139.0,172321.98,21.172377441946185
02W,2011,Sep,71481.0,6542.0,171073.13999999998,26.149975542647507
02X,2011,Sep,247262.0,16386.0,355728.38,21.70928719638716
02Y,2011,Sep,247261.0,14872.0,296162.0199999998,19.914068047337263
03A,2011,Sep,185941.0,9791.0,191711.04,19.58033295883975
03C,2011,Sep,291181.0,12123.0,256326.16,21.14378949105007
03D,2011,Sep,115576.0,5882.0,119082.3,20.24520571234274
03E,2011,Sep,130748.0,5802.0,120724.51000000001,20.80739572561186
03F,2011,Sep,226105.0,12574.0,255679.01999999993,20.333944647685694
03G,2011,Sep,198646.0,11317.0,238564.55,21.080193514182202
03H,2011,Sep,131600.0,8080.0,161794.04999999996,20.024016089108905
03J,2011,Sep,141150.0,8899.0,194448.05,21.85055062366558
03K,2011,Sep,133511.0,8430.0,183741.63000000003,21.796160142348757
03L,2011,Sep,202117.0,12042.0,261202.84,21.690984886231522
03M,2011,Sep,97630.0,5068.0,106695.90000000001,21.052861089187058
03N,2011,Sep,447169.0,25240.0,484173.62999999995,19.182790412044373
03Q,2011,Sep,277850.0,13002.0,252333.27999999994,19.407266574373168
03R,2011,Sep,283387.0,16918.0,338495.34000000014,20.00799976356544
03T,2011,Sep,199805.0,14784.0,309455.16000000003,20.931761363636365
03V,2011,Sep,40408.0,2119.0,49996.52,23.594393581878244
03W,2011,Sep,254405.0,13555.0,296988.1399999999,21.909859092585755
03X,2011,Sep,79014.0,4601.0,76995.14999999998,16.734438165616165
03Y,2011,Sep,83276.0,5924.0,109812.58000000002,18.536897366644162
04C,2011,Sep,283732.0,19958.0,435699.3900000001,21.830814209840668
04D,2011,Sep,180787.0,10219.0,211507.17000000004,20.697442998336435
04E,2011,Sep,147551.0,8714.0,179106.74,20.553906357585493
04F,2011,Sep,201834.0,9533.0,210528.37,22.08416762823875
04G,2011,Sep,492344.0,26742.0,551317.9499999998,20.616182409692613
04H,2011,Sep,103252.0,5563.0,122037.58000000003,21.937368326442574
04J,2011,Sep,236688.0,14307.0,247239.70999999996,17.28103096386384
04K,2011,Sep,271805.0,13328.0,235338.40000000008,17.657442977190883
04L,2011,Sep,115117.0,6674.0,119519.70000000003,17.908255918489665
04M,2011,Sep,76516.0,4178.0,69908.72,16.732580181905217
04N,2011,Sep,98578.0,4373.0,82119.94,18.778856620169222
04Q,2011,Sep,104115.0,5897.0,125135.87,21.22025945395964
04R,2011,Sep,413961.0,25607.0,422069.4800000001,16.48258210645527
04V,2011,Sep,292840.0,16174.0,347046.94,21.457087918882156
04X,2011,Sep,185324.0,12671.0,308662.26999999996,24.359740351984843
04Y,2011,Sep,102246.0,6120.0,153043.58000000002,25.007120915032683
05A,2011,Sep,360985.0,19750.0,405970.1999999999,20.55545316455696
05C,2011,Sep,250159.0,14779.0,319290.8700000001,21.604362270789643
05D,2011,Sep,106340.0,6137.0,133546.08000000002,21.76080821248167
05F,2011,Sep,149031.0,8594.0,176530.52,20.54113567605306
05G,2011,Sep,166227.0,10840.0,205426.13000000003,18.950750000000003
05H,2011,Sep,147421.0,8935.0,223331.41000000003,24.995121432568553
05J,2011,Sep,135026.0,6962.0,165568.87999999995,23.781798333812116
05L,2011,Sep,403256.0,30299.0,751779.5799999997,24.81202613947654
05N,2011,Sep,243102.0,13064.0,268301.41,20.537462492345373
05P,2011,Sep,186319.0,10750.0,228183.59,21.22638046511628
05Q,2011,Sep,168479.0,9473.0,193985.76,20.4777536155389
05R,2011,Sep,221203.0,10292.0,205282.10000000006,19.94579284881462
05T,2011,Sep,234038.0,13611.0,302399.76000000007,22.217306590257884
05V,2011,Sep,117347.0,6083.0,130992.41000000002,21.53417885911557
05W,2011,Sep,215439.0,14890.0,302180.70000000007,20.294204163868372
05X,2011,Sep,134097.0,7812.0,178240.57,22.816253200204812
05Y,2011,Sep,206247.0,15964.0,296010.7600000001,18.542392883988985
06A,2011,Sep,204901.0,14617.0,307700.6,21.05087227201204
06D,2011,Sep,90218.0,5279.0,140231.53,26.564032960788026
06F,2011,Sep,338882.0,18990.0,362882.68,19.10914586624539
06H,2011,Sep,675672.0,34771.0,643955.3800000002,18.51989819102126
06K,2011,Sep,444661.0,22263.0,441212.2799999999,19.81818622827112
06L,2011,Sep,310118.0,15868.0,302833.8800000001,19.084565162591385
06M,2011,Sep,189366.0,11777.0,220556.77999999997,18.72775579519402
06N,2011,Sep,466617.0,21206.0,380628.10999999987,17.949076204847678
06P,2011,Sep,156631.0,10478.0,229377.52000000008,21.891345676655856
06Q,2011,Sep,301985.0,15807.0,306766.13000000006,19.406979819067505
06T,2011,Sep,263332.0,15400.0,324430.46,21.066912987012987
06V,2011,Sep,139856.0,8236.0,171714.41000000003,20.84924842156387
06W,2011,Sep,167174.0,7296.0,158437.98000000004,21.715731907894742
06Y,2011,Sep,176910.0,9468.0,204062.90000000002,21.552904520490074
07G,2011,Sep,124246.0,7144.0,165532.87,23.1708944568869
07H,2011,Sep,229117.0,12391.0,231537.49,18.685940602049875
07J,2011,Sep,134276.0,9583.0,225600.10000000003,23.541698841698846
07K,2011,Sep,190836.0,10002.0,218931.87000000008,21.888809238152376
07L,2011,Sep,142339.0,8796.0,191395.28000000006,21.759354251932702
07M,2011,Sep,288647.0,16334.0,323615.97999999986,19.812414595322632
07N,2011,Sep,179414.0,10323.0,209462.08999999997,20.29081565436404
07P,2011,Sep,283283.0,19622.0,339722.63000000006,17.31335388849251
07Q,2011,Sep,255750.0,12846.0,255447.32,19.885358866573252
07R,2011,Sep,203003.0,7334.0,119760.77,16.329529588219252
07T,2011,Sep,219452.0,11207.0,240531.85000000003,21.462643883287235
07V,2011,Sep,301680.0,17273.0,322241.7,18.655803855728596
07W,2011,Sep,299269.0,19285.0,345178.6899999999,17.898817215452418
07X,2011,Sep,211081.0,13198.0,277162.79,21.000362933777843
07Y,2011,Sep,205967.0,12366.0,247709.51,20.031498463529033
08A,2011,Sep,212653.0,10883.0,218991.32,20.12233023982358
08C,2011,Sep,157333.0,6639.0,133782.97,20.15107245067028
08D,2011,Sep,220815.0,11517.0,209945.25000000003,18.22916123990623
08E,2011,Sep,187967.0,13719.0,256746.47,18.71466360521904
08F,2011,Sep,204368.0,11007.0,232289.09000000003,21.1037603343327
08G,2011,Sep,214206.0,12692.0,245147.28000000006,19.315102426725502
08H,2011,Sep,175636.0,8352.0,129496.92,15.504899425287356
08J,2011,Sep,149041.0,6666.0,117900.28000000001,17.68681068106811
08K,2011,Sep,307823.0,12936.0,223863.57999999993,17.30547155225726
08L,2011,Sep,234814.0,12686.0,248531.98000000004,19.591043670187613
08M,2011,Sep,271513.0,18477.0,454915.0399999999,24.620611571142497
08N,2011,Sep,213037.0,14936.0,299726.44000000006,20.067383502945905
08P,2011,Sep,157999.0,5179.0,87562.19999999998,16.907163545085922
08Q,2011,Sep,260188.0,11595.0,207039.25999999995,17.855908581285032
08R,2011,Sep,168414.0,8517.0,169534.08,19.90537513208876
08T,2011,Sep,142037.0,7444.0,156628.58000000002,21.040916174099948
08V,2011,Sep,209768.0,12269.0,247146.40999999997,20.143973428967314
08W,2011,Sep,221026.0,12986.0,276559.96,21.29677806868936
08X,2011,Sep,300906.0,11763.0,233358.22,19.83832525716229
08Y,2011,Sep,200588.0,7889.0,142987.78999999998,18.12495753580935
09A,2011,Sep,165985.0,5820.0,108725.08000000002,18.681285223367702
09C,2011,Sep,95496.0,5250.0,122393.51999999999,23.313051428571427
09D,2011,Sep,246425.0,9457.0,203701.58000000005,21.539767368087137
09E,2011,Sep,170878.0,9221.0,199250.72000000003,21.608363518056613
09F,2011,Sep,152396.0,8483.0,156014.00000000006,18.39137097724862
09G,2011,Sep,395188.0,22450.0,565568.5,25.19236080178174
09H,2011,Sep,97051.0,5375.0,124939.92999999998,23.244638139534878
09J,2011,Sep,191882.0,10425.0,244631.39999999994,23.4658417266187
09L,2011,Sep,129916.0,5887.0,115082.53999999998,19.548588415152025
09N,2011,Sep,171928.0,7196.0,142342.28,19.780750416898275
09P,2011,Sep,147619.0,8451.0,200151.6,23.683777067802627
09W,2011,Sep,216659.0,13690.0,319780.72000000015,23.358708546384232
09X,2011,Sep,178339.0,8173.0,178630.60000000003,21.856184999388233
09Y,2011,Sep,280371.0,14295.0,309934.67,21.681334032878627
10A,2011,Sep,158284.0,9803.0,228044.56999999998,23.262732836886666
10C,2011,Sep,72551.0,3529.0,71787.39,20.342133748937375
10D,2011,Sep,83012.0,5459.0,115735.03000000001,21.200774867191797
10E,2011,Sep,111096.0,7364.0,156046.97,21.190517381857685
10G,2011,Sep,105928.0,4946.0,115114.92000000001,23.274346947027905
10H,2011,Sep,253062.0,12263.0,265384.16000000003,21.641047052107968
10J,2011,Sep,168882.0,8878.0,168469.80000000002,18.976098220319894
10K,2011,Sep,160950.0,8763.0,173990.66000000003,19.855147780440493
10L,2011,Sep,117428.0,6720.0,140081.63999999998,20.84548214285714
10M,2011,Sep,89777.0,3572.0,76571.21999999999,21.436511758118698
10N,2011,Sep,84359.0,3567.0,78825.98000000001,22.098676759181387
10Q,2011,Sep,548978.0,24080.0,491761.27,20.42197965116279
10R,2011,Sep,171378.0,8414.0,165278.06999999998,19.643222010934156
10T,2011,Sep,103562.0,7765.0,153323.21,19.745423052157115
10V,2011,Sep,168161.0,9562.0,187087.36,19.565714285714286
10W,2011,Sep,100369.0,4261.0,99251.27,23.29295235860127
10X,2011,Sep,213671.0,10428.0,213152.04,20.44035673187572
10Y,2011,Sep,156171.0,7601.0,160559.81,21.123511380081567
11A,2011,Sep,437677.0,20904.0,434104.0600000001,20.766554726368163
11C,2011,Sep,119827.0,5537.0,118985.24,21.489116850279935
11D,2011,Sep,122029.0,4965.0,106863.92,21.52344813695871
11E,2011,Sep,159904.0,6968.0,140178.61000000007,20.117481343283593
11H,2011,Sep,376986.0,16988.0,317519.7000000001,18.690822933835655
11J,2011,Sep,619106.0,33342.0,669572.8499999997,20.08196418931077
11M,2011,Sep,496709.0,28502.0,561110.3300000001,19.6867002315627
11N,2011,Sep,453574.0,24704.0,519344.32999999996,21.022681751943004
11T,2011,Sep,170640.0,8910.0,186289.64000000004,20.907928170594843
11X,2011,Sep,438437.0,24405.0,441056.59999999986,18.072386805982376
12A,2011,Sep,204972.0,9937.0,199742.1,20.10084532555097
12D,2011,Sep,172928.0,9539.0,213084.34999999998,22.338227277492397
12F,2011,Sep,268747.0,16122.0,329094.49,20.41275834263739
13P,2011,Sep,542668.0,34376.0,874553.1700000004,25.440806667442413
99A,2011,Sep,396128.0,21579.0,465803.8300000002,21.58597849761343
99C,2011,Sep,175585.0,10420.0,166702.86,15.99835508637236
